enlace,titulo,fecha,texto,pais
https://listindiario.com/la-republica/2022/11/14/747950/migracion-intensifica-repatriacion-de-haitianos-en-distrito-nacional,Migración intensifica repatriación de haitianos en Distrito Nacional,"lunes, 14 de noviembre de 2022","La Dirección General de Migración (GGM) intensificó sus medidas contra la afluencia de  , realizando este lunes fuertes redadas por todo el Distrito Nacional, a fin de capturar a aquellos no porten un carnet de identidad que los legalice en territorio dominicano. Los Ríos, Herrera y otros sectores de Santo Domingo fueron peinados por representantes de la Dirección que, tras la pregunta de si poseen o no papeles de nacionalización al día, procedían a subir de forma brusca a los haitianos que no daban una respuesta afirmativa, levantando una ola de opiniones favor y en contra entre los propios dominicanos que fueron testigos.  “Por aquí pasaron y es una cosa que uno no se explica. Una niña que iba camino a la , sin preguntarle ni nada la subieron y se la llevaron. Una muchacha que está estudiando y tiene sus papeles”, expresó Ángel Bautista un motorista de Los Ríos que presenció el hecho y que además refirió que no está en contra de que los  , sin embargo alegó que las autoridades deben tener cuidado.  Diferentes patrullas de la Dirección de Migración realizaron paradas en múltiples intersecciones de populosos sectores de la capital, que ya habían sido objeto de operativos en los que los agentes vigilan el paso de personas que parecen tener  Tras identificarlos, el personal migratorio procede a pedir la documentación atrayendo respuestas que podrían ser negativas, y los llevan a protagonizar persecuciones y enfrentamientos bruscos con aquellos que se resisten a ser devueltos a su país. Este lunes, recorrió el Distrito Nacional llevando a decenas de indocumentados hasta dos vacacionales en Haina.",República Dominicana
https://listindiario.com/la-republica/2022/11/14/747941/cuatro-provincias-en-alerta-verde-por-vaguada,Cuatro provincias en alerta verde por vaguada,"lunes, 14 de noviembre de 2022","El Centro de Operaciones de Emergencias (COE) emitió este lunes una señal de  prevista a ubicarse en el territorio dominicano para mañana martes. Las provincias del  , en la región Este, se encuentran en alerta por posibles crecidas de ríos, arroyos y cañadas, así como inundaciones urbanas y repentinas. El COE ofreció estas especificaciones de acuerdo con el boletín meteorológico de la Oficina Nacional de Meteorología (Onamet), establece para el día de hoy la presencia de ráfagas de viento en la región norte, sur, la cordillera Central y la zona fronteriza.  De igual forma, se esperan las que estas condiciones climáticas aumenten su intensidad para el mañana, lo que también  En cuanto a las provincias de La Romana, La Altagracia y el Seibo, el nivel de alerta verde fue descontinuado.",República Dominicana
https://listindiario.com/el-deporte/2022/11/14/747928/escogido-despide-a-su-manager-pedro-lopez-tras-mal-inicio-de-temporada,Escogido despide a su manager Pedro López tras mal inicio de temporada,"lunes, 14 de noviembre de 2022","Los Leones del Escogido despidieron al entrenador del equipo, Pedro López, tras las derrotas de la escuadra escarlata ante sus rivales de ciudad, los  . El pasado domingo, el   venció a los Leones 6 carreras a 1, sumando otra derrota más para el Escogido, que ocupa el último lugar de la tabla de posiciones de la Liga de Béisbol Profesional de la  . La destitución fue confirmada por el equipo en un comunicado oficial. Tras la derrota de ayer, los 16 veces campeones de la pelota invernal poseen foja de , teniendo un juego por debajo del quinto lugar del torneo, los Toros del Este (8-15). López fue anunciado como el capataz del  a finales del pasado mes de abril por el gerente general de la franquicia, Luis Rojas. En lugar de López, los Leones han colocado a Felipe Rojas Jr. como dirigente interino, hasta que el equipo contrate a su estratega definitivo para el resto del torneo otoño-invernal 2022-2023 dedicado a Tomás Troncoso Cuesta In Memoriam. Rojas Jr., quien está en el cuerpo técnico de los Leones desde la   es el actual coach de banca del club. Además del récord, los melenudos están penúltimos en promedio de bateo (.203), últimos en porcentaje de embasarse (.276) y también en slugging (.275). En el pitcheo tienen la tercera mejor efectividad (3.43), pero ocupan el último lugar en WHIP (1.34). Otro movimiento que realizó el Departamento de Operaciones de Béisbol del   fue la sustitución del instructor de bateo Rafael Peña. Su lugar será ocupado por Junior Zamora, quien hasta anoche era asistente del coach de bateo. Peña se mantendrá en la organización, en un rol que más adelante será anunciado por el equipo. Previo a la actual campaña, López dirigió a los Gigantes del Cibao en el torneo 2017-18; luego, en el 2019-20, fue el mánager del Licey. Su experiencia también incluye a las  , con quienes ha trabajado un par de años como coach de banca, incluyendo el torneo 2018-19 en el que ese club ganó el campeonato.",República Dominicana
https://listindiario.com/las-mundiales/2022/11/14/747919/petro-cien-dias-de-luna-de-miel-de-la-izquierda-con-el-poder-en-colombia,"Petro, cien días de luna de miel de la izquierda con el poder en Colombia","lunes, 14 de noviembre de 2022","El presidente de Colombia, Gustavo Petro, cumple este martes cien días en el cargo, periodo en el que logró la gobernabilidad necesaria para sacar adelante asuntos cruciales como la reforma tributaria, restablecer las relaciones con Venezuela y   pero aún no ha podido hacer que su Gobierno funcione como equipo.  Petro, elegido con el 50,44 % de los votos, ha vivido su luna de miel   ya que consiguió atraer para su agenda legislativa a casi todos los partidos que no lo apoyaron en las elecciones, incluidos los tradicionales Liberal y Conservador, y así conformar una sólida mayoría en el Congreso.  La tarea, que no parecía fácil para el primer presidente de izquierda de Colombia, ha resultado en una coalición multicolor constituida bajo el paraguas del cambio prometido por Petro y cuyo primer gran triunfo fue la aprobación legislativa del controvertido proyecto de reforma tributaria para recaudar 20 billones de pesos (unos 4.000 millones de dólares)  Para la analista política Sandra Borda, profesora e investigadora de la Universidad de los Andes, en los primeros cien días de Petro en la Presidencia ""hay dos aciertos"": ""Creo que el más importante de todos es haber logrado sacar la reforma tributaria tan rápidamente en el Congreso. Creo que eso hacía parte de los objetivos que se habían trazado en el Gobierno y es clave para tener los recursos suficientes para empezar a implementar las reformas sociales en las que están pensando"", dijo Borda a EFE.  En cuanto al restablecimiento de las relaciones con Venezuela, rotas desde febrero de 2019, era esperada luego de más de tres años de un infructuoso choque verbal entre los gobiernos de Nicolás Maduro y el antecesor de Petro, Iván Duque.  Ese paso, junto con la reapertura a los vehículos de la frontera común, cerrada desde agosto de 2015 por orden de Maduro, se dio en septiembre, y aunque faltan muchos asuntos por resolver entre ambos países, da un giro a la política exterior colombiana que puede jugar un papel clave en la búsqueda de una salida a la crisis venezolana.  ""En las relaciones con Venezuela se acertó en haber iniciado rápidamente la reconstrucción de los vínculos nacionales; el haber hecho la visita (de Petro a Caracas) y sobre todo el haber puesto sobre la mesa cuáles son los principios que llevan a Colombia a iniciar ese proceso de negociación con el régimen venezolano insistiendo mucho en la importancia de la democracia del Estado de derecho"", expresó Borda.  Petro tiene claro que, más allá de afinidades ideológicas,  para su proyecto de ""paz total"" que tiene como punto de partida la reanudación de negociaciones con la guerrilla del Ejército de Liberación Nacional (ELN) para las cuales el apoyo del país caribeño puede ser tan decisivo como lo fue en los diálogos con las FARC.  El presidente colombiano pidió a Maduro que sea ""garante"" de esos diálogos, y para eso se necesita una relación fluida, pues del éxito con el ELN dependerá que pueda extender la ""paz total"" a otros grupos armados ilegales como las disidencias de las FARC y bandas criminales.  También en el ámbito internacional, Petro ha buscado en sus primeros cien días un liderazgo latinoamericano en materia ambiental para enfrentar la crisis climática mundial, lo que en su opinión obliga al país a ""mitigar, es decir, dejar de emitir CO2, para lo cual hay que separarse en corto tiempo del petróleo y el carbón"".  La posibilidad de que Colombia ponga fecha de caducidad a la exploración y explotación de crudo, que es el mayor generador de divisas para el país, causa controversia por el impacto negativo que una medida de ese calibre tendría en las cuentas externas.  En ese contexto, y con las dificultades económicas que se asoman en el horizonte, el ministro de Hacienda, José Antonio Ocampo, ha tenido que salir a calmar a los mercados financieros espantados por declaraciones de otros miembros del gabinete, como su colega de Minas, Irene Vélez, y el propio Petro, sobre el posible fin de los combustibles fósiles en el país.  Algo similar ocurre con la ministra de Salud, Carolina Corcho, y su plan de reformar el sistema de salud que, si bien tiene fallas, está muy lejos de ser ""uno de los peores del mundo"" como lo catalogó recientemente Petro, lo que le ocasionó una lluvia de críticas de diferentes sectores.  ""La forma en que están gastando capital político tan rápidamente, exponiendo al ojo público las discusiones que tienen al interior del Gobierno los va a desgastar tremendamente; es un Gobierno que tiene muchas y muy grandes ideas pero que tiene casi que un desprecio o una despreocupación por la forma en la que esas grandes ideas se convierten en política pública"", opina Borda.  Según una encuesta de la firma Invamer para varios medios, el 49,7 % de los colombianos aprueba la gestión de Petro en sus primeros cien días y un 42,7 % la desaprueba, resultado que refleja la división que persiste en el país sobre el primer Gobierno de izquierda.  ",República Dominicana
https://listindiario.com/las-mundiales/2022/11/14/747901/primer-ministro-haitiano-destituye-a-3-altos-funcionarios,Primer ministro haitiano destituye a 3 altos funcionarios,"lunes, 14 de noviembre de 2022","El primer ministro haitiano Ariel Henry destituyó a los ministros de Justicia e Interior y al comisionado del gobierno, en una nueva ronda de agitación política. El exministro de Justicia Berto Dorcé primero despidió al comisionado de gobierno Jacques Lafontant por orden de Henry antes de ser destituido él mismo días después junto con el ministro del Interior Liszt Quitel, según documentos que The Associated Press obtuvo el lunes. Quitel fue previamente ministro de Justicia. Henry no explicó por qué destituyó a los funcionarios y de momento no se ha podido contactar a su portavoz. Henry se convirtió en ministro del Interior al tiempo que se desempeña como primer ministro, y Emmelie Prophète Milcé fue nombrada ministra de Justicia, la quinta en los últimos dos años mientras el país lucha por llevar ante la justicia a todos los involucrados en el asesinato del presidente Jovenel Moïse en julio de 2021. Los despidos ocurren un mes después que el gobierno de Estados Unidos anunció que retirará las visas a funcionarios actuales y anteriores del gobierno haitiano involucrados con pandillas. Los funcionarios no fueron identificados. A principios de este mes, el Departamento del Tesoro estadounidense impuso sanciones al presidente del Senado de Haití, Joseph Lambert, y al exsenador Youri Latortue en medio de acusaciones de que abusaron de sus cargos para traficar drogas junto con pandillas e instruyeron a otros para que participaran en actos de violencia.",República Dominicana
https://listindiario.com/la-republica/2022/11/14/747870/one-informa-sobre-el-proceso-de-levantamiento-de-informacion-en-el-censo,ONE informa sobre el proceso de levantamiento de información en el Censo,"lunes, 14 de noviembre de 2022","La Oficina Nacional de Estadística (ONE) informó que el X Censo Nacional de Población y Vivienda (XCNPV) continúa su proceso regular  , superando  tomando en consideración la magnitud del proyecto que abarca el territorio nacional. Según lo expuesto por el director del censo, Víctor Romero, hasta las 3 de la tarde de este domingo 13 de noviembre 2022,  con sus equipos sobre el 93% y las otras 6 entre el 60 y 88% de sus equipos, con conectividad y transmisión de datos hacia el servidor de la ONE desde distintos puntos del país. Ravel Domínguez, director de tecnología de la ONE, quien también estuvo presente, explicó que el plan de acción contemplaba durante los primeros días la conectividad, la cual ha consistido en la  de acuerdo con los instructivos recibidos; la asignación de roles y familiarización del terreno por el personal de empadronamiento, ya que no se puede visitar los hogares sin realizar esta parte del proceso. Declaró que la sincronización de las tabletas  los cuales deben hacerse ya en el terreno y en el polígono asignado para el éxito cartográfico. “No es solamente encender la tableta y va a funcionar, es un proceso que lleva varios pasos y si se salta alguno de ellos no tendría éxito, por lo que, tiene un acompañamiento técnico”, agregó Domínguez. Además, se indicó que las incidencias presentadas hasta el momento  del personal por parte de un solo proveedor, lo cual ya está solucionado debido a que es elemental para la confianza de la población y visitar los hogares.",República Dominicana
https://listindiario.com/la-republica/2022/11/14/747865/implementaran-programa-de-salud-contra-vih-y-otras-enfermedades-en-centros-penitenciarios,Implementarán programa de salud contra VIH y otras enfermedades en centros penitenciarios,"lunes, 14 de noviembre de 2022","La Dirección General de Servicios Penitenciarios y Correccionales (DGSPC), el Consejo Nacional para el VIH y SIDA (Conavihsida) y el Servicio Nacional de Salud (SNS) iniciarán esta semana un programa de intervención en salud para la detección y atención de enfermedades infecciosas y de transmisión sexual (ITS) en 14 centros penitenciarios del país. Este plan tiene por objetivo detectar las infecciones, tratarlas y prevenir nuevos contagios, así como mejorar la calidad y aumentar las expectativas de vida de las personas con VIH en los centros penitenciarios. Las acciones de campo se iniciarán el próximo martes con la toma de muestras de manera simultánea en los recintos de La Victoria y el complejo Najayo, por ser los más poblados, en los que se proyecta realizar cada día 200 pruebas de VIH, tuberculosis, COVID-19 y sífilis. No obstante, fue establecido en un comunicado que en los centros penitenciarios no se obliga a los privados de libertad a que se sometan a estas pruebas. El director ejecutivo de Conavihsida, Enrique González, resaltó que este proyecto forma parte de una estrategia cuyo objetivo es mejorar las atenciones y garantizar mejores condiciones a las personas en reclusión que viven con VIH. En esta primera fase, el plan impactará al menos a 15,063 internos, para lo que la comisión interinstitucional ha diseñado una logística que permitirá un proceso rápido de atención que parte del registro y sigue con la medición de la presión arterial, luego cada una de las pruebas hasta la entrega de los resultados en privado.",República Dominicana
https://listindiario.com/la-republica/2022/11/14/747889/tiroteo-deja-tres-muertos-y-varios-heridos-en-la-yaguita-del-ejido-santiago,"Tiroteo deja tres muertos y varios heridos en La Yaguita del Ejido, Santiago","lunes, 14 de noviembre de 2022","Tres personas perdieron la vida, mientras que varios resultaron heridos, luego de un tiroteo ocurrido la madrugada de este lunes en el sector en la Yaguita del Ejido, a pocos metros del destacamento policial de la zona. Los cuerpos de los fallecidos están en el Instituto Nacional de Ciencias Forenses (Inacif) de Santiago, mientras que algunos de los heridos se encuentran ingresados en diferentes centros de salud locales. Versiones recogidas en el lugar dan cuenta de que en la zona funciona una peluquería y en el frente se producen “fiestas callejeras”, donde este día una persona, desde un vehículo en marcha, disparó a la multitud, produciéndose el tiroteo. Este hecho se suma a otras muertes violentas que se registraron este fin de semana.",República Dominicana
https://listindiario.com/la-republica/2022/11/14/747913/macarrulla-se-requiere-liderazgo-solido-para-no-necesitar-de-otro-mesias-en-el-futuro,Macarrulla: Se requiere liderazgo sólido para no necesitar de “otro mesías” en el futuro,"lunes, 14 de noviembre de 2022","El exministro de la Presidencia,  , expresó que cuando una institución es infuncional por estar mal estructurada, necesita de un liderazgo sólido. “Mi experiencia de 50 años como gestor me indica que, cuando una organización es infuncional por estar mal estructurada,  ”, dijo. Macarrulla agregó en su mensaje que, de no contar con ese liderazgo, en dicha organización “ ”. En tal sentido, el exfuncionario recalcó que el liderazgo debe orientarse a los cambios que puedan producirse en esa organización  “Ese liderazgo sólido, competente y confiable debe orientarse a los cambios estructurales de la organización para que no sea necesario otro “mesías” en el futuro y que la organización funcione con  ”, dictó Macarrulla en su tuit. Aproximadamente un mes después de que solicitara una licencia en sus funciones, Lisandro Macarrulla  , el pasado 10 de agosto, mediante un comunicado dirigido hacia el presidente Luis Abinader. Macarrulla pidió la licencia tras la inclusión de su hijo en el  , en el que figura como principal acusado el exprocurador de la República, Jean Alain Rodríguez. El expediente también hace alusión al ex ministro, asegurando incluso que fue quien pactó sobornos con Jean Alain Rodríguez.",República Dominicana
https://listindiario.com/el-deporte/2022/11/14/747938/hermanas-de-cristiano-ronaldo-la-gente-solo-nos-quiere-cuando-es-conveniente-ese-es-el-mundo-en-el-que-se-vive,"Hermanas de Cristiano Ronaldo: ""La gente sólo nos quiere cuando es conveniente. Ese es el mundo en el que se vive""","lunes, 14 de noviembre de 2022","Las hermanas de Cristiano Ronaldo, Elma y Katia Aveiro, cerraron hoy filas con el astro portugués  porque, defienden, ""las verdades son para decirlas"". En su perfil de la red social Instagram, Elma Aveiro, hermana mayor de la estrella lusa, compartió varios momentos de la entrevista y Además, afirmó que ""la gente sólo nos quiere cuando es conveniente. Ese es el mundo en el que se vive, por desgracia"". ""Otra entrevista desde el corazón.  , dijo Elma. Katia, otra de las hermanas mayores del futbolista portugués, compartió en la misma red social una crítica velada a quienes cargan contra su hermano: ""Me impresiona ver cómo el ser auténtico molesta a la gente, incluso me hace gracia"". ""El valor es para quien lo merece,  cambia siempre por ti y nunca para complacer a otro"", compartió. Cristiano, de 37 años, concedió una entrevista al periodista inglés Piers Morgan en la que dijo sentirse ""traicionado"" por su club, el Manchester United. No sólo el entrenador, sino también el resto de personas que rodean al club. Me sentí traicionado"", dijo. 
   ",República Dominicana
